"bin","bbl"
1052235,1016430015
1087438,1016430010
1052233,1016430008
1052232,1016430007
1052231,1016430004
1052230,1016430001
1052229,1016400147
1083184,1016400139
1081348,1016400139
1087213,1016400021
1082337,1016400021
1082333,1016400021
1079200,1016400021
1082330,1016400001
1079199,1016400001
1079198,1016400001
1079196,1016400001
1079195,1016400001
1079194,1016400001
1052228,1016390150
1052226,1016390133
1052224,1016390124
1052223,1016390062
1087212,1016390057
1087211,1016390057
1052222,1016390056
1052221,1016390052
1052220,1016390051
1052219,1016390050
1086041,1016390049
1086040,1016390048
1052217,1016390047
1052216,1016390046
1052215,1016390045
1089400,1016390043
1052214,1016390042
1076354,1016390041
1052227,1016390041
1052213,1016390040
1052212,1016390039
1052211,1016390038
1052210,1016390036
1052209,1016390035
1052208,1016390034
1052207,1016390034
1052205,1016390031
1052204,1016390030
1052203,1016390029
1089055,1016390028
1087368,1016390027
1085679,1016390021
1052202,1016390021
1081346,1016390003
1087779,1016387501
1052200,1016380148
1052199,1016380146
1052198,1016380141
1052197,1016380140
1052196,1016380122
1052195,1016380121
1052194,1016380112
1085681,1016380063
1052192,1016380057
1052190,1016380052
1052188,1016380049
1052187,1016380048
1052186,1016380047
1052185,1016380046
1052184,1016380045
1052183,1016380044
1052182,1016380043
1052181,1016380041
1085259,1016380040
1080665,1016380039
1080661,1016380039
1080662,1016380038
1080664,1016380037
1080663,1016380037
1052180,1016380036
1082324,1016380033
1082323,1016380033
1082322,1016380033
1082321,1016380033
1052179,1016380024
1052178,1016380023
1052177,1016380022
1052176,1016380021
1052175,1016380017
1052174,1016380016
1052173,1016380015
1052172,1016380014
1052171,1016380013
1088164,1016380012
1052170,1016380011
1087922,1016380008
1087483,1016380001
1052167,1016370141
1052166,1016370137
1052165,1016370052
1052164,1016370051
1052163,1016370050
1052162,1016370048
1084325,1016370043
1076353,1016370043
1052161,1016370042
1052160,1016370040
1052159,1016370038
1052158,1016370037
1052157,1016370036
1074258,1016370035
1081429,1016370033
1081428,1016370033
1081427,1016370033
1081426,1016370033
1081425,1016370033
1074257,1016370028
1052153,1016370026
1089054,1016370023
1052148,1016370021
1078932,1016370001
1078931,1016370001
1078930,1016370001
1078929,1016370001
1052147,1016360151
1052146,1016360150
1052145,1016360148
1052144,1016360142
1052143,1016360141
1052142,1016360140
1052141,1016360139
1052140,1016360138
1052139,1016360132
1052136,1016360124
1052135,1016360123
1052134,1016360122
1052133,1016360121
1052132,1016360052
1052131,1016360051
1052130,1016360050
1052129,1016360049
1052128,1016360048
1052127,1016360047
1052126,1016360046
1052125,1016360045
1052124,1016360044
1052123,1016360043
1052122,1016360042
1052121,1016360041
1052120,1016360040
1052119,1016360039
1052118,1016360038
1052117,1016360037
1052116,1016360036
1052115,1016360035
1052114,1016360034
1052113,1016360033
1089053,1016360030
1052110,1016360024
1052109,1016360023
1052108,1016360022
1052107,1016360021
1078926,1016360001
1078925,1016360001
1078924,1016360001
1052106,1016350151
1052104,1016350145
1052103,1016350144
1052102,1016350141
1052101,1016350140
1052100,1016350132
1052098,1016350126
1086039,1016350124
1052097,1016350122
1052096,1016350121
1052093,1016350050
1052091,1016350045
1052090,1016350044
1052088,1016350042
1052087,1016350041
1052086,1016350040
1052085,1016350039
1052084,1016350038
1052083,1016350037
1052082,1016350036
1052081,1016350035
1052080,1016350033
1052079,1016350032
1052077,1016350028
1052076,1016350027
1052075,1016350026
1086038,1016350025
1052073,1016350024
1052072,1016350023
1052071,1016350022
1052070,1016350021
1088453,1016350017
1052067,1016340157
1052066,1016340156
1052065,1016340140
1052064,1016340132
1052063,1016340117
1052062,1016340116
1052061,1016340115
1052060,1016340113
1052059,1016340111
1052058,1016340065
1078921,1016340062
1078919,1016340062
1052057,1016340060
1052056,1016340059
1052055,1016340057
1052054,1016340056
1052053,1016340052
1052052,1016340051
1052051,1016340050
1052050,1016340049
1052049,1016340048
1052048,1016340047
1052047,1016340046
1052046,1016340045
1052045,1016340044
1052044,1016340043
1052043,1016340042
1052042,1016340041
1052041,1016340040
1052040,1016340039
1052039,1016340038
1052038,1016340037
1052037,1016340036
1052036,1016340035
1052035,1016340034
1052034,1016340033
1052033,1016340032
1052032,1016340031
1052031,1016340029
1052030,1016340029
1052029,1016340028
1052028,1016340027
1052027,1016340026
1052026,1016340025
1052025,1016340024
1052024,1016340023
1052023,1016340022
1052022,1016340021
1052021,1016340017
1052020,1016340016
1052019,1016340015
1052018,1016340014
1052017,1016340013
1052016,1016340012
1081389,1016340009
1081388,1016340009
1052015,1016340003
1052014,1016340001
1076348,1016337501
1081344,1016330066
1081343,1016330066
1081342,1016330066
1052012,1016330061
1052011,1016330054
1052010,1016330053
1052009,1016330051
1052007,1016330041
1052006,1016330041
1052005,1016330040
1052004,1016330039
1052003,1016330038
1052002,1016330037
1052001,1016330036
1052000,1016330035
1051999,1016330034
1051998,1016330033
1051997,1016330032
1051996,1016330030
1051995,1016330029
1088165,1016330020
1051992,1016330019
1086927,1016330013
1051991,1016330013
1081387,1016330010
1081385,1016330010
1081384,1016330010
1051990,1016330001
1085258,1016327501
1051989,1016320156
1051988,1016320155
1051987,1016320154
1051986,1016320153
1051985,1016320152
1051984,1016320151
1051983,1016320150
1051982,1016320145
1051981,1016320133
1051980,1016320053
1051979,1016320052
1051978,1016320051
1051977,1016320050
1051976,1016320048
1051975,1016320047
1051974,1016320046
1051973,1016320045
1051972,1016320044
1051971,1016320042
1051970,1016320041
1051969,1016320040
1051968,1016320037
1051967,1016320035
1051966,1016320034
1051965,1016320033
1051964,1016320032
1051963,1016320030
1051962,1016320029
1051960,1016320027
1051959,1016320026
1051958,1016320025
1051957,1016320024
1051956,1016320023
1051955,1016320022
1081341,1016320011
1081340,1016320011
1051954,1016320001
1089312,1016317501
1051953,1016310156
1051952,1016310140
1051951,1016310115
1051950,1016310108
1051947,1016310068
1051946,1016310066
1051945,1016310065
1051944,1016310063
1051943,1016310062
1051942,1016310060
1051941,1016310056
1051939,1016310051
1051938,1016310050
1051937,1016310049
1051936,1016310048
1051935,1016310047
1051934,1016310046
1051933,1016310045
1051932,1016310044
1051931,1016310043
1051930,1016310041
1051929,1016310040
1051928,1016310039
1051927,1016310038
1051926,1016310037
