ZoneDist1,BldgClass,YearBuilt,BBL,APPBBL
R8B,C4,1930,1003920026,0
R8B,C4,1900,1003920027,1003920027
R7A,C7,1900,1003920031,0
R7A,S3,1900,1003920032,0
R7A,C7,1900,1003920033,0
R7A,C7,1951,1003920034,0
R7A,K2,1910,1003920035,0
R7A,C6,1900,1003920036,0
R7A,C7,1900,1003920037,0
R7A,K4,1950,1003920039,0
R8B,G7,0,1003920040,1003920027
R8B,C4,1900,1003920041,0
R8B,C4,1900,1003920042,0
R8B,G7,0,1003920043,0
R8B,C4,1900,1003920045,0
R8B,C1,1900,1003920048,0
R8B,D3,2008,1003920053,0
R7A,RM,1928,1003927501,1003920001
R8B,R4,2005,1003927502,1003920046
R7A,D5,1908,1003930001,1003930001
R7A,S4,1900,1003930004,0
R7A,C4,1910,1003930005,0
R7A,C7,1900,1003930006,0
R7A,C7,1900,1003930007,0
R7A,C7,1900,1003930008,0
R8B,C0,1939,1003930009,0
R8B,C6,1900,1003930010,0
R8B,D1,2003,1003930011,0
R8B,D5,1900,1003930014,1003930014
R8B,C4,1900,1003930016,0
R8B,C1,1900,1003930018,0
R8B,D9,1900,1003930019,0
R8B,V1,0,1003930020,0
R8B,C4,1900,1003930021,0
R8B,C4,1900,1003930022,0
R8B,C7,1900,1003930023,0
R8B,D5,1985,1003930025,1003930025
R7A,C4,1920,1003930033,0
R7A,C4,1900,1003930034,0
R7A,C4,1900,1003930035,0
R7A,C7,1920,1003930036,0
R7A,C7,1920,1003930037,0
R7A,C7,1920,1003930038,0
R7A,C6,1900,1003930039,0
R8B,C4,1900,1003930040,0
R8B,C4,1900,1003930045,0
R8B,D1,2001,1003930046,0
R8B,C4,1900,1003930047,0
R8B,C1,2002,1003930048,0
R8B,I5,1910,1003930049,0
R8B,C6,1900,1003930051,0
R8B,D1,1912,1003930055,0
R8B,D1,1920,1003930056,1003930014
R8B,V1,0,1003930059,0
R8B,D6,1900,1003930061,0
R8B,RM,1999,1003937501,1003930028
R7A,C7,1900,1003940001,0
R7A,D1,2003,1003940002,0
R7A,S4,1900,1003940003,0
R7A,S3,1900,1003940004,0
R7A,S5,1910,1003940005,0
R7A,D9,2013,1003940010,0
R8B,W1,1940,1003940012,0
R8B,F5,1958,1003940028,0
R8B,V1,0,1003940029,0
R8B,O1,1951,1003940032,0
R8B,O2,1950,1003940034,0
R7A,C4,1910,1003940037,0
R7A,S4,1910,1003940038,0
R7A,D7,1910,1003940041,0
R7A,D7,1910,1003940044,0
R8B,C4,1900,1003940048,0
R8B,C4,1900,1003940050,0
R8B,C6,1937,1003940052,0
R8B,C4,1910,1003940053,0
R8B,C4,1910,1003940057,0
R8B,C7,1900,1003940058,0
R8B,D9,1910,1003940063,0
R8B,D1,2003,1003940064,0
R8B,C4,1900,1003940065,0
R8B,C4,1920,1003940066,0
R7A,V1,0,1003940067,0
R8B,RM,1920,1003947501,1003940046
R8B,R2,2001,1003947502,1003940060
R8B,R2,2001,1003947503,1003940055
R8B,R1,1920,1003947504,1003940059
R8B,R1,2006,1003947505,1003940047
R7A,RM,1910,1003947506,1003940036
R7A,C7,1910,1003950001,0
R7A,C7,1910,1003950003,0
R7A,C7,1910,1003950006,0
R7A,C7,1900,1003950007,0
R7A,V1,0,1003950008,0
R7-2,D9,1979,1003950009,0
R7-2,D4,1973,1003950012,0
R7-2,D3,1979,1003950022,0
C1-6A,C4,1910,1003960003,0
C1-6A,C4,1904,1003960004,0
C1-6A,C4,1910,1003960005,0
C1-6A,K2,1920,1003960006,0
C1-6A,K1,1936,1003960007,0
C1-6A,K2,1920,1003960009,0
R7-2,D6,1980,1003960010,0
R7-2,C6,1920,1003960020,1003960025
R7-2,C4,1920,1003960026,0
R7-2,C4,1920,1003960027,0
R7-2,C7,1900,1003960028,0
R7-2,V1,0,1003960029,0
C1-6A,RM,2008,1003967501,1003960001
R8A,C7,1900,1003970006,0
R7A,D7,1920,1003970007,0
R7A,C6,1900,1003970011,0
R8B,D4,1920,1003970012,0
R8B,I7,1996,1003970015,0
R8B,C1,1900,1003970018,0
R8B,K1,1910,1003970019,1003970019
R8B,C4,1910,1003970022,0
R8B,C6,1915,1003970025,0
R8B,C6,1900,1003970026,0
R8B,A4,1899,1003970027,0
R8B,V1,0,1003970028,0
R8B,D5,1900,1003970029,1003970029
R7A,C7,1925,1003970033,0
R8A,D7,1900,1003970035,1003970035
R8A,C7,1900,1003970038,0
R8A,D6,0,1003970063,1003970063
R8A,D5,1900,1003970065,1003970003
R8B,R4,1920,1003977501,1003970020
R8A,RM,1920,1003977502,1003970003
R8A,RM,0,1003977503,1003970063
R7A,O2,1926,1003980001,0
R7A,K2,1930,1003980002,0
R7A,S3,1960,1003980004,0
R7A,K4,1900,1003980005,0
R7A,C7,1900,1003980006,0
R8B,D4,1940,1003980008,0
R8B,C4,1930,1003980015,0
R8B,D7,1931,1003980018,0
R8B,D9,1920,1003980022,0
R8B,C6,1900,1003980024,0
R8B,D9,1912,1003980025,0
R8B,C1,1900,1003980026,0
R8B,V1,0,1003980027,0
R7A,V1,0,1003980028,0
R7A,K4,1958,1003980029,0
R7A,C7,1920,1003980031,0
R7A,C7,1900,1003980032,0
R7A,C7,1900,1003980033,0
R7A,D6,2015,1003980034,0
R7A,D6,1997,1003980035,1003980035
R8B,C7,1900,1003980043,0
R8B,E1,1951,1003980045,0
R8B,C6,1900,1003980051,0
R8B,C7,1900,1003980052,0
R8B,C7,1900,1003980053,0
R8B,C4,1920,1003980055,0
R8B,C6,1950,1003980058,0
R7A,C7,1919,1003980061,0
R7A,C6,1900,1003980066,0
R8B,R2,1920,1003987501,1003980047
R8B,RD,1920,1003987502,1003980046
R7A,D6,1995,1003990001,0
R7A,K1,1969,1003990008,0
R8B,M9,1900,1003990011,0
R8B,W2,1890,1003990020,0
R8B,C1,1900,1003990024,0
R8B,C7,1900,1003990026,0
R7A,C7,1900,1003990030,0
R7A,C7,1900,1003990033,0
R7A,C7,1900,1003990035,0
R7A,C7,1900,1003990036,0
R7A,C4,1900,1003990037,0
R7A,C7,1900,1003990038,0
R7A,C7,1900,1003990039,0
R8B,J7,1951,1003990040,0
R8B,C7,1900,1003990041,0
R8B,C7,1900,1003990043,0
R8B,D1,1950,1003990044,0
R8B,C7,1900,1003990047,0
R8B,C4,1900,1003990049,0
R8B,C4,1900,1003990050,0
R8B,M3,1900,1003990051,0
R8B,C4,1910,1003990058,0
R7A,RM,1920,1003997501,1003990004
R7A,R6,1955,1003997502,1003990028
R7A,D6,1940,1004000001,0
R7B,C4,1940,1004000009,0
R7B,C4,1940,1004000010,0
R7B,C4,1900,1004000011,0
R7B,C4,1900,1004000012,0
R7B,C4,1900,1004000013,0
R7B,C4,1900,1004000014,0
R7B,C4,1900,1004000015,0
R7B,C4,1940,1004000016,0
R7B,C4,1900,1004000017,0
R7B,C7,1930,1004000018,0
R7B,A4,1900,1004000019,0
R7B,C4,1900,1004000020,0
R7B,D1,2009,1004000021,1004000021
R7B,G7,0,1004000023,0
R7B,C7,1929,1004000024,0
R7B,C7,1929,1004000026,0
R7A,D6,1970,1004000031,0
R7A,C7,1900,1004000038,0
R7A,C7,1920,1004000039,0
R7B,C7,1890,1004000042,0
R7B,C6,1929,1004000044,0
R7B,C6,1937,1004000045,0
R7B,C6,1937,1004000047,0
R7B,C4,1900,1004000048,0
R7B,C1,1900,1004000049,0
R7B,C7,1900,1004000050,0
R7B,C4,1900,1004000052,0
R7B,C1,1900,1004000053,0
R7B,C7,1900,1004000054,0
R7B,C7,1900,1004000055,0
R7B,C4,1900,1004000056,0
R7B,C4,1900,1004000057,0
R7B,C4,1900,1004000058,0
R7B,C4,1913,1004000059,0
R7B,C4,1913,1004000060,0
R7B,C7,1900,1004000061,0
R7A,U2,0,1004010001,0
R7B,C6,1900,1004010012,0
R7B,C4,1920,1004010013,0
R7B,C6,1900,1004010014,0
R7B,C5,1900,1004010015,0
R7B,C7,1910,1004010017,1004010017
R7B,C4,1900,1004010019,0
R7B,C6,1900,1004010020,0
R7B,C4,1900,1004010021,0
R7B,C6,1900,1004010022,0
R7B,C4,1900,1004010023,0
R7B,D3,2008,1004010024,0
R7B,V1,0,1004010025,0
R7B,C4,1900,1004010026,0
R7B,C4,1900,1004010027,0
R7B,C4,1920,1004010028,0
R7B,D1,1900,1004010029,0
R7B,C4,1920,1004010030,0
R7A,V1,0,1004010031,0
R7A,V1,0,1004010033,0
R7A,V1,0,1004010035,0
R7A,V1,0,1004010037,0
R7A,V1,0,1004010038,0
R7A,V1,0,1004010039,0
R7A,C7,1920,1004010041,0
R7B,C7,1900,1004010042,0
R7B,D6,2000,1004010046,1004010046
R7B,C4,1900,1004010047,0
R7B,C4,1900,1004010048,0
R7B,C4,1900,1004010049,0
R7B,C6,1900,1004010050,0
R7B,C4,1900,1004010051,0
R7B,C4,1900,1004010052,0
R7B,C4,1900,1004010053,0
R7B,C4,1900,1004010054,0
R7B,C4,1900,1004010055,0
R7B,C4,1920,1004010056,0
R7B,C6,1929,1004010057,0
R7B,C4,1900,1004010058,0
R7B,C4,1900,1004010059,0
R7B,C4,1900,1004010060,0
R7A,C7,1920,1004020001,0
R7A,D6,0,1004020003,1004020003
R7B,D9,1925,1004020011,0
R7B,D9,1925,1004020015,0
R7B,D1,1925,1004020019,0
R7B,C4,1913,1004020021,0
R7B,D3,1915,1004020023,0
R7B,C4,1900,1004020025,0
R7B,C4,1900,1004020026,0
R7B,C4,1900,1004020027,0
R7B,C4,1911,1004020028,0
R7B,D1,1929,1004020029,0
R7A,C7,1900,1004020032,0
R7A,C7,1930,1004020034,0
R7A,C4,1900,1004020036,0
R7A,S4,1945,1004020037,0
R7A,C6,1900,1004020039,0
R7A,N9,1940,1004020040,0
R7A,K4,1900,1004020041,0
R7A,K2,1901,1004020042,0
R7A,S9,1900,1004020043,0
R7A,C4,1930,1004020044,0
R7B,D1,1900,1004020045,0
R7B,C6,1900,1004020047,0
R7B,C6,1900,1004020048,0
R7B,C6,1900,1004020049,0
R7B,C4,1920,1004020050,0
R7B,C5,1915,1004020051,0
R7B,C4,1911,1004020052,0
R7B,C6,1920,1004020053,0
R7B,C4,1900,1004020054,0
R7B,C4,1900,1004020055,0
R7B,C4,1920,1004020056,0
R7B,D9,1923,1004020057,0
R7B,C4,1920,1004020059,0
R7B,C7,1920,1004020060,0
R7B,C4,1920,1004020062,0
R7B,C4,1900,1004020063,0
R7A,C4,1920,1004020064,0
R7A,RM,1900,1004027501,1004020010
R7B,RM,1920,1004027502,1004020061
R7A,RM,0,1004027503,1004020003
PARK,Q1,0,1004030001,0
R7A,B9,1900,1004040001,0
R7A,M9,1910,1004040002,0
R7A,C7,1920,1004040004,0
R7A,C2,1900,1004040005,0
R8B,C4,1900,1004040006,0
R8B,S4,1900,1004040009,0
R8B,C6,1929,1004040010,0
R8B,C6,1929,1004040011,0
R8B,C7,1900,1004040012,0
R8B,C6,1900,1004040013,0
R8B,C7,1900,1004040014,0
R8B,C4,1900,1004040016,0
R8B,C7,1900,1004040017,0
